antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Product_Demand_Score'}),frozenset({'Product_Paneer'}),0.993375,0.049375,0.049375,0.049704290927393986,1.006669183339625,1.0,0.0003271093750000023,1.0003465141684322,1.0000000000000082,0.04970429092739398,0.0003463941379555387,0.524852145463697
frozenset({'Product_Paneer'}),frozenset({'Product_Demand_Score'}),0.049375,0.993375,0.049375,1.0,1.006669183339625,1.0,0.0003271093750000023,inf,0.0069690992767916324,0.04970429092739398,1.0,0.524852145463697
frozenset({'Product_Pepsi'}),frozenset({'Product_Demand_Score'}),0.04725,0.993375,0.04725,1.0,1.006669183339625,1.0,0.0003130312499999982,inf,0.006953555497244778,0.047565118912797286,1.0,0.5237825594563986
frozenset({'Product_Milk'}),frozenset({'Product_Demand_Score'}),0.04725,0.993375,0.04725,1.0,1.006669183339625,1.0,0.0003130312499999982,inf,0.006953555497244778,0.047565118912797286,1.0,0.5237825594563986
frozenset({'Product_Demand_Score'}),frozenset({'Product_Milk'}),0.993375,0.04725,0.04725,0.04756511891279728,1.0066691833396249,1.0,0.0003130312499999982,1.0003308561236623,0.9999999999999954,0.047565118912797286,0.0003307466940931812,0.5237825594563986
frozenset({'Product_Demand_Score'}),frozenset({'Product_Pepsi'}),0.993375,0.04725,0.04725,0.04756511891279728,1.0066691833396249,1.0,0.0003130312499999982,1.0003308561236623,0.9999999999999954,0.047565118912797286,0.0003307466940931812,0.5237825594563986
frozenset({'Product_Demand_Score'}),frozenset({'Product_Oil'}),0.993375,0.04975,0.049625,0.049955958223228895,1.0041398637834953,1.0,0.00020459375000000252,1.0002167880794701,0.6223088256261669,0.049949672873678914,0.0002167410925849964,0.5237216977045793
frozenset({'Product_Oil'}),frozenset({'Product_Demand_Score'}),0.04975,0.993375,0.049625,0.9974874371859297,1.0041398637834953,1.0,0.00020459375000000252,2.6367500000000437,0.004338643483055354,0.049949672873678914,0.6207452356120287,0.5237216977045793
frozenset({'Product_Demand_Score'}),frozenset({'Product_Butter'}),0.993375,0.0535,0.05325,0.05360513401283503,1.0019651217352343,1.0,0.00010443749999999863,1.0001110889509375,0.29604039330321197,0.05359164674801862,0.00011107661155312354,0.5244661184082866
frozenset({'Product_Butter'}),frozenset({'Product_Demand_Score'}),0.0535,0.993375,0.05325,0.9953271028037383,1.001965121735234,1.0,0.00010443749999999863,1.4177499999999812,0.0020721263662269174,0.05359164674801862,0.2946570269793594,0.5244661184082866
frozenset({'Product_Demand_Score'}),frozenset({'Product_Shampoo'}),0.993375,0.052625,0.052375,0.052724298477412855,1.0018869069342111,1.0,9.86406250000002e-05,1.0001048253188098,0.284279731616158,0.05271103283431878,0.0001048143316140461,0.5239868523265924
frozenset({'Product_Shampoo'}),frozenset({'Product_Demand_Score'}),0.052625,0.993375,0.052375,0.995249406175772,1.0018869069342111,1.0,9.86406250000002e-05,1.3945624999999937,0.001987970151161942,0.05271103283431878,0.2829292340787849,0.5239868523265924
frozenset({'Product_Coke'}),frozenset({'Product_Demand_Score'}),0.051375,0.993375,0.051125,0.9951338199513382,1.001770549844055,1.0,9.035937500000146e-05,1.3614375,0.0018631393204873782,0.051453012957604724,0.265482256805766,0.5232998909747882
frozenset({'Product_Demand_Score'}),frozenset({'Product_Coke'}),0.993375,0.051375,0.051125,0.05146596199823832,1.001770549844055,1.0,9.035937500000146e-05,1.0000958974529053,0.26678045855054205,0.051453012957604724,9.588825746562219e-05,0.5232998909747882
frozenset({'Product_Demand_Score'}),frozenset({'Product_Coffee'}),0.993375,0.051375,0.051125,0.05146596199823832,1.001770549844055,1.0,9.035937500000146e-05,1.0000958974529053,0.26678045855054205,0.051453012957604724,9.588825746562219e-05,0.5232998909747882
frozenset({'Product_Coffee'}),frozenset({'Product_Demand_Score'}),0.051375,0.993375,0.051125,0.9951338199513382,1.001770549844055,1.0,9.035937500000146e-05,1.3614375,0.0018631393204873782,0.051453012957604724,0.265482256805766,0.5232998909747882
frozenset({'Product_Demand_Score'}),frozenset({'Product_Soap'}),0.993375,0.05,0.04975,0.05008179187114635,1.0016358374229268,1.0,8.124999999999799e-05,1.0000861041197509,0.24651559685217964,0.05006919109321928,8.60967064698392e-05,0.5225408959355732
frozenset({'Product_Soap'}),frozenset({'Product_Demand_Score'}),0.05,0.993375,0.04975,0.995,1.0016358374229268,1.0,8.124999999999799e-05,1.3249999999999973,0.001719121925416514,0.05006919109321928,0.24528301886792295,0.5225408959355732
frozenset({'Product_Toothpaste'}),frozenset({'Product_Demand_Score'}),0.04975,0.993375,0.0495,0.9949748743718593,1.0016105442273655,1.0,7.95937500000024e-05,1.3183749999999927,0.0016921384324699751,0.04981758711787646,0.24149047122404055,0.5224024994735854
frozenset({'Product_Demand_Score'}),frozenset({'Product_Toothpaste'}),0.993375,0.04975,0.0495,0.04983012457531144,1.0016105442273655,1.0,7.95937500000024e-05,1.0000843265792612,0.24271012006861825,0.04981758711787646,8.431946888864849e-05,0.5224024994735854
frozenset({'Product_Rice'}),frozenset({'Product_Demand_Score'}),0.049625,0.993375,0.049375,0.9949622166246851,1.001597802063355,1.0,7.876562499999767e-05,1.3150624999999863,0.001678551271400147,0.04969178513020506,0.2395798678769941,0.5223332537760396
frozenset({'Product_Demand_Score'}),frozenset({'Product_Rice'}),0.993375,0.049625,0.049375,0.049704290927393986,1.001597802063355,1.0,7.876562499999767e-05,1.0000834381620762,0.24079293049915726,0.04969178513020506,8.343120073022096e-05,0.5223332537760396
frozenset({'Product_Biscuit'}),frozenset({'Product_Demand_Score'}),0.0495,0.993375,0.04925,0.9949494949494949,1.0015849955449805,1.0,7.793749999999988e-05,1.31174999999999,0.001664899852335263,0.04956598314253365,0.23765961501809976,0.5222639761144857
frozenset({'Product_Demand_Score'}),frozenset({'Product_Biscuit'}),0.993375,0.0495,0.04925,0.04957845727947653,1.0015849955449805,1.0,7.793749999999988e-05,1.0000825499801402,0.23886600900296898,0.04956598314253365,8.254316620360784e-05,0.5222639761144857
frozenset({'Product_Demand_Score'}),frozenset({'Product_Sugar'}),0.993375,0.0465,0.04625,0.046558449729457656,1.001256983429197,1.0,5.806249999999735e-05,1.0000613039461528,0.189495155532883,0.046546735438419924,6.130018820939285e-05,0.520591052821718
frozenset({'Product_Sugar'}),frozenset({'Product_Demand_Score'}),0.0465,0.993375,0.04625,0.9946236559139785,1.001256983429197,1.0,5.806249999999735e-05,1.2322499999999996,0.0013166286370271086,0.046546735438419924,0.18847636437411214,0.520591052821718
