Transaction_ID,Customer_ID,Product,Quantity,Price_per_Unit,Total_Amount,Discount,Payment_Method,Store_Location,Customer_Category,Customer_Age,Customer_Gender,Month,Product_Demand_Score,Cross_Sell_Potential
T10000,C70,Rice,7,209.94,1322.62,10,Debit Card,Pune,Regular,48,Female,1,0.21,0.97
T10001,C210,Rice,4,103.73,352.68,15,Cash,Bangalore,Regular,58,Female,1,0.88,0.47
T10002,C618,Butter,8,263.39,2001.76,5,Cash,Bangalore,Rare,59,Female,1,0.17,0.16
T10003,C972,Juice,5,454.96,1819.84,20,UPI,Ahmedabad,Rare,40,Male,1,0.27,0.7
T10004,C336,Juice,7,404.14,2404.63,15,UPI,Pune,Regular,29,Male,1,0.35,0.44
T10005,C212,Butter,3,42.26,101.42,20,Cash,Delhi,Regular,25,Male,1,1.0,0.99
T10006,C476,Biscuit,7,349.36,1956.42,20,Cash,Kolkata,Regular,38,Male,1,0.48,0.18
T10007,C980,Sugar,8,290.23,2205.75,5,Net Banking,Chennai,Regular,38,Male,1,0.55,0.21
T10008,C371,Toothpaste,5,454.66,2159.64,5,Debit Card,Kolkata,Rare,49,Male,1,0.79,0.73
T10009,C736,Atta,4,70.02,224.06,20,Cash,Pune,Regular,34,Female,1,0.67,0.78
T10010,C492,Chocolate,8,271.68,2173.44,0,UPI,Chennai,Regular,54,Female,1,0.86,0.52
T10011,C198,Butter,8,440.94,2822.02,20,Net Banking,Hyderabad,Regular,41,Female,1,0.54,0.35
T10012,C824,Soap,3,210.91,506.18,20,Net Banking,Mumbai,Regular,25,Female,1,0.97,0.38
T10013,C589,Soap,6,246.18,1403.23,5,Net Banking,Mumbai,Regular,35,Female,1,0.82,0.4
T10014,C196,Toothpaste,5,44.53,200.39,10,Cash,Hyderabad,New,28,Female,1,0.46,0.3
T10015,C200,Biscuit,2,146.29,248.69,15,Debit Card,Pune,Rare,27,Male,1,0.44,0.87
T10016,C937,Shampoo,8,169.01,1284.48,5,Net Banking,Hyderabad,Regular,43,Female,1,0.94,0.16
T10017,C272,Coffee,6,473.11,2838.66,0,Net Banking,Ahmedabad,Rare,64,Female,1,0.72,0.47
